FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 Spont	 TFMI		 AnovaP	 TFDI  	 VarTerm	 MaxX 	 MinX 	 TFHWHM	 RsqMn	 PMean	 RsqRaw	 Praw		 Chi2		 ChiP		 Brat		 Ampl		 Peak		 SD		 Offst		
m82013c1r4.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 3.2400	  2.90	 0.5000	  0.66	  0.40	 0.894	 0.00136494	 0.484	  0.490	 16.00	  0.50	  0.9000	 0.6213	 0.06252790	 0.1866	 0.00056898	 1.6615	        NaN	  0.66	  2.24	 3.2419	 0.1997	 0.0998	
m72213c2r4.htb	   0.0	  0.04	 2.000	 10.00	 10.00	 40.00	   0.0	 2.9900	  4.80	 16.0000	  2.35	  3.03	 1.388	 0.18451586	 0.365	  0.467	 16.00	  0.50	  1.2200	 0.8694	 0.00670026	 0.1181	 0.00950914	 0.0981	        NaN	  2.35	  2.45	 2.9897	 0.2807	 0.0999	
m111813c1r4.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 12.5200	  7.07	 0.5000	  2.39	  2.99	 1.146	 0.48669157	 0.348	  0.905	 16.00	  0.50	  3.4800	 0.7117	 0.03476197	 0.0906	 0.07021824	 0.1675	        NaN	  2.39	  4.68	 12.5246	 0.2259	 0.0312	
m112113c1r4.htb	   0.0	  0.03	 2.000	 10.00	 10.00	 40.00	   0.0	 2.1100	  7.76	 16.0000	  5.65	  6.17	 1.328	 0.51188241	 0.284	  0.605	 16.00	  0.50	  0.8700	 0.8727	 0.00635619	 0.0646	 0.05006496	 0.0615	        NaN	  5.65	  2.11	 2.1113	 0.2874	 0.0130	
m20714c1r4.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   0.0	 0.7800	  3.57	 4.8400	  1.85	  2.04	 1.124	 0.69853817	 0.254	  0.710	 16.00	  0.50	  0.2500	 0.2186	 0.34979701	 0.0115	 0.41391471	 0.1612	        NaN	  1.85	  1.72	 0.7798	 0.1997	 0.0998	
m20714c2r4.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 2.1000	  6.51	 16.0000	  3.96	  4.63	 1.612	 0.27951532	 0.290	  0.669	 16.00	  0.50	  4.3400	 0.9443	 0.00118581	 0.1011	 0.01327413	 0.0355	        NaN	  3.48	  3.03	 2.1049	 1.0391	 0.1000	
m20714c2r44.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 4.2300	  8.08	 0.5000	  5.30	  2.74	 0.521	 0.34204180	 0.423	  0.472	 16.00	  0.50	  0.6000	 0.6008	 0.07016297	 0.1429	 0.07537505	 0.5567	        NaN	  5.30	  2.78	 4.2341	 0.1072	 0.0506	
m21914c1r4.htb	   0.0	  0.16	 2.000	 -5.00	  5.00	 40.00	   0.0	 1.7100	  6.85	 16.0000	  2.49	  3.28	 1.921	 0.02278224	 0.593	  0.506	 16.00	  0.50	  5.1500	 0.5799	 0.07851819	 0.2332	 0.00687361	 8.5039	        NaN	  0.00	  6.85	 1.7132	 1.5351	 0.1000	
m21914c1r44.htb	   0.0	  0.16	 2.000	 -5.00	  5.00	 40.00	   0.0	 3.8200	  4.47	 0.5000	  2.31	  2.14	 0.925	 0.19346341	 0.371	  0.812	 16.00	  0.50	  2.2100	 0.5065	 0.11268098	 0.0632	 0.05276209	 0.7129	        NaN	  2.31	  2.16	 3.8199	 0.3779	 0.1000	
m22614c3r4.htb	 120.0	  0.04	 4.000	 -10.00	 -10.00	 40.00	   0.0	 2.0200	  4.75	 16.0000	  1.21	  2.07	 1.775	 0.00333553	 0.559	  0.425	 16.00	  0.50	  4.8100	 0.9197	 0.00248548	 0.4174	 0.00003673	 0.2973	        NaN	  0.00	  4.75	 2.0166	 1.2258	 0.1000	
