FILE		 PrDir	 PrSpd	 PrHDsp	 RFX	 RFY	 RFDiam	 ZerSpd	 ZerRsp	 MaxSpd	 MaxRsp	 MinSpd	 MinRsp	 Spont	 SpdMI	 AnovaP		 Rmeans	 Pmeans		 Rraw	 Praw		 SDI	 VarTrm	 R0	 K	 alpha		 tau		 expon		 Chi2		 ChiP		 Npts	 Npars	 FitErr	
m60112c1r7.htb	   45.0	  20.00	  0.000	   0.00	   0.00	  30.00	   0.0	  14.73	 13.950	  17.12	  0.000	  14.80	   6.97	  0.149	 0.97274070	  0.797	 0.00282300	  0.039	 0.21990759	 0.2198	  0.558	  14.80	   2.32	  0.1227429	 -0.1738649	  1.7355525	  0.06970	 0.99520656	     40	      5	 10.0613	
m60117c1r9.htb	   90.0	   5.00	  0.000	   0.00	   0.00	  30.00	   0.0	  12.19	 24.950	  21.05	  0.000	  11.41	  10.75	  0.444	 0.00000003	  0.953	 0.00003403	  0.456	 0.00000000	 0.5779	  0.411	  11.41	   9.64	  0.4368017	 -4.6270472	 12.9122303	  0.30188	 0.95967537	     80	      5	 12.8337	
m60119c1r3.htb	   45.0	  20.00	  0.000	   0.00	   0.00	  30.00	   0.0	   9.12	 45.150	  16.47	  0.000	  10.05	   9.55	  0.319	 0.12509579	  0.694	 0.00532348	  0.065	 0.00290535	 0.3148	  0.672	  10.05	   6.42	  0.3363367	 -0.0707189	 15.2097668	  0.25177	 0.99271082	    135	      5	 58.2811	
m60119c2r3.htb	   45.0	  30.00	  0.000	   0.00	  10.00	  40.00	   0.0	   8.86	 63.850	  16.16	  0.000	   8.69	   6.07	  0.499	 0.00183059	  0.956	 0.00000519	  0.243	 0.00000081	 0.4430	  0.745	   8.72	   7.45	  0.0438708	  3.0970518	  2.6657942	  0.15770	 0.99704995	     90	      5	 45.8060	
m60124c1r5.htb	    0.0	  20.00	  0.000	   0.00	  10.00	  70.00	   0.0	   5.57	 26.100	   8.52	  0.000	   5.08	   4.64	  0.404	 0.00302651	  0.851	 0.00305610	  0.153	 0.00003721	 0.3800	  0.530	   5.41	   3.11	  0.0444138	  1.2008370	  1.1064672	  0.18866	 0.90997082	    105	      5	 28.1862	
m60124c2r8.htb	    0.0	  30.00	  0.000	   0.00	  10.00	  70.00	   0.0	   1.69	 22.000	   2.43	  0.000	   1.55	   2.57	  0.300	 0.97194341	  0.378	 0.10454913	  0.019	 0.39823005	 0.2476	  0.379	   1.55	   0.88	  1.0007152	 -0.0968967	 22.0933525	  0.68622	 0.87644135	     40	      5	 4.7823	
m60124c3r3.htb	  100.0	  30.00	  0.000	  -5.00	  20.00	  70.00	   0.0	   6.42	 17.700	   8.89	  0.000	   5.82	   7.21	  0.433	 0.05372091	  0.812	 0.00225607	  0.138	 0.00069593	 0.4391	  0.506	   2.85	   6.04	  0.0270164	 -2.1634478	  0.5364996	  0.36185	 0.94800458	     80	      5	 19.4037	
m60124c4r9.htb	    0.0	  30.00	  0.000	  10.00	  -5.00	  70.00	   0.0	   1.24	 23.500	   4.32	  1.450	   0.84	   1.54	  0.762	 0.00001009	  0.966	 0.00001225	  0.365	 0.00000000	 0.5006	  0.633	   0.84	   3.48	  0.0898047	  1.4366132	  1.9792542	  0.29885	 0.96024432	     80	      5	 30.0338	
m60124c5r7.htb	  180.0	  30.00	  0.000	   0.00	   0.00	  70.00	   0.0	   8.16	 32.000	  12.58	  0.000	   7.71	   9.15	  0.378	 0.05570945	  0.961	 0.00001870	  0.162	 0.00021296	 0.3982	  0.633	   7.24	   5.34	  0.0236268	 -0.5308747	  0.7731969	  0.04766	 0.99727172	     80	      5	 29.1448	
m60213c2r8.htb	  120.0	   5.00	  0.000	   0.00	  15.00	  50.00	   0.0	   1.79	 64.000	   7.89	  0.000	   1.60	   1.99	  0.786	 0.00000001	  0.978	 0.00000046	  0.456	 0.00000000	 0.5848	  0.552	   1.60	   9.85	  0.0017029	  0.0001700	  0.5492420	  0.13310	 0.99788150	     90	      5	 25.0551	
m60213c3r8.htb	  180.0	   5.00	  0.000	   8.00	   0.00	  50.00	   0.0	   4.48	 44.200	  16.24	  0.000	   4.09	   3.28	  0.773	 0.00000000	  0.977	 0.00000055	  0.645	 0.00000000	 0.6592	  0.567	   0.00	  16.24	  0.0419455	 -18.0461471	  2.6115585	  0.61354	 0.96154745	     90	      5	 27.9791	
m60213c4r8.htb	   20.0	   5.00	  0.000	   5.00	  12.00	  50.00	   0.0	   4.66	 64.000	   9.42	  0.000	   5.32	   3.98	  0.519	 0.00494374	  0.797	 0.00119929	  0.210	 0.00002841	 0.4858	  0.515	   5.22	   7.56	  0.0226195	 -20.0000000	  3.5795315	  0.91516	 0.92237585	     77	      5	 19.4481	
